index,text,label
2418,26598,"so last week someone at work asked me when my birthday was and i told him it was a month ago, he then preceded to tell me happy birthday and handed me a trash bag as my gift",general
570,37079,When i’m not a broke girl i’ll do all i didn’t do there (after my travel in China with my cousins in one year if it’s possible 👉👈☺️),travel
502,42755,"I need a change of scenery when I get my B.Ed. Maybe travel somewhere or go camping for a few weeks, anything. I need to get out of this town.
While I love learning and I love school, it can be such a toxic environment when it comes to maintaining your health and self-worth.",travel
2202,38669,disappointed with the season finale. couldn’t get behind bree and roger so for jamie and claire take a backseat the whole season for them was really annoying. #outlander https://t.co/nlnyqoiiih,general
250,21171,Hubby and I are taking a page from our daughter and son in law and TRY to pack light so we just have carry ons. This The New York Times was helpful in getting to that goal! https://t.co/wqNOvsFg94,travel
242,25310,We'll be tuning up for our trip to Key West FL with a full band throw down at The Venue Shrine. Gonna be a gas-gas-gas!!! https://t.co/8stdZdBtSM,travel
101,13536,It’s gonna be a fun year to cheer on @HuskerFBNation on the road. #Huskers #football #travel #Denver #WashingtonDC #GBR https://t.co/w3Y1GmfLQY,travel
619,18239,@jiminisatease They think I get hurt by their words? This is Twitter. I like Jikook and of course I hype up Jikook moments 🤷‍♀️ they always breaking a leg trying to proof how fake our ship is and how we all spread fake stuff when we aren’t the ones who made up a whole trip.,general_travel
54,29351,"Africa is freaking beautiful!!! 
TAG someone you would love to share this view with 🔥🔥🔥
_____________________
•  •  •  •  •
🏖 @FSMauritius
 ————————————————————
Dress: @showpo ————————————————————#mauritius #ZenMagazine #travel https://t.co/zxSMcapsiJ",travel
2185,29793,i promise y’all if @k8__japunchaaa takes a nap it’s over💀,general
969,35480,"Excellent! Danish #football club @FCKobenhavn decided to listen to its supporters and will not travel to #Dubai for training camps in the coming years due to #UAE's abysmal #humanrights record.

More clubs should follow! https://t.co/7Kmz0aU4jn",general_travel
151,40203,"Feeling endlessly inspired on this trip and have been writing and filming non-stop, so much so that I’ve got a new weekly upload schedule - I’ll pop it below in case you wanna set reminders 💗 let me know any YouTube videos or blog posts that you’d li… https://t.co/52rCZI1OGE https://t.co/1Egms1qLoK",travel
1841,19127,she's a romney so the 2 go hand in hand. https://t.co/kvjqudz2fv,general
86,13562,"Have to travel to South America and Asia this year to achieve my goal of visiting all continents by the age of 21! Where to go? Brazil, Argentina, Columbia, Trinidad&amp;Tobago, Thailand, Indonesia, Malaysia or Vietnam? Choices!",travel
2503,71,"the way she walks
the way the confetti falls
the way the camera pans

everything is so beautiful 😵 https://t.co/6vzn6rrbsl",general
573,19499,Visit Northern Burgundy on a European Waterways Luxury Hotel Barge Cruise - Read my post to see all the deliciousness you'll enjoy traveling with @europewaterways -,travel
1982,26078,"this is my favourite slide every year because it helps visualize a $13b+ budget. if this base budget was approved, the average homeowner (with a house assessed at $665,605) would pay $3,020 in property taxes this year. of that, $703.21 would go to toronto police - or 23% https://t.co/d9h3c6vxkn",general
1825,9647,"i spotted #suho and #sehun today in la!luckiest exo-l alive today.was dying to take a photo with them but out of respect,i opted not to.i am lucky enough to be at the same place and at the same time as them. sharing this to my fellow exo-ls! yes, they look good up close #exo https://t.co/uiwmke0mgh",general
982,27039,"Shawnee County Sheriff’s Deputy Shayna Anderson said Friday that the sheriff’s office strongly discourages any non-essential travel during inclement weather.
“Please do not attempt to drive if you do not absolutely have to,” she said.
MORE: https://t.co/z4TGzEpcGf #Topeka #kswx https://t.co/Vj0b8PCQG1",general_travel
505,993,"@ScotRail I'm on one, but I have to go to Kingsknowe meaning I then need to travel from Edinburgh Park or Haymarket, thanks anyway.",travel
1929,38053,@oikilluas i change my mind they’re all phinks except the guy @ the end who flips the middle finger that’s feitan,general
976,10669,"THATâ€™S IT, KAREN. I TOLD YOU WHAT Iâ€™D DO IF YOU PUT ON TAYLOR SWIFT ONE MORE TIME ON THIS ROAD TRIP. Iâ€™LL SEE YOU IN HELL! https://t.co/ktbUTKCfjR",general_travel
997,42624,"@Farelyboy @DeclanBurke2 @spikedonline So what ? They were just opinions.'Project  Fear' was presented as hard facts from June 2016 right upto the present day,when even the EU have said planes will still fly,lorries will still travel trouble free through their ports making a total nonsense of any sort of shortages.",general_travel
2051,22208,"@alexwickham why don’t these idiots just accept that they’ve wasted all the time which was available to them, which means the only options left are no deal or revoke article 50?",general
2448,6670,the same diner  in “what’s love got to do with it” 😂😂 https://t.co/wzacju9zfa,general
478,38452,"@BYUVocalPoint The 16th and the 17th. It’s gonna be a short trip, but I’ll dump all my plans for a VP concert.",travel
237,33488,Or y’know maybe someday I’ll have the courage to travel solo,travel
2391,42064,"all i'm saying is, some girls at the davido concert need to use roll on",general
2518,43133,no one seems to follow through with the things they say.,general
1788,36589,when someone asked u to watch netflix and falls asleep ..🙄 now i’m watching u instead of the tv,general
2303,8162,@hardcoverturtle that's still pretty good for no thumbs.,general
2172,34178,"here are the things leftists can't handle:

💕you are entitled to nothing. 

💕there are only 2 genders.

💕hate speech is free speech.

💕capitalism cures poverty.

💕president trump is not a racist.

what else can't leftist handle? please add yours and retweet.",general
1968,31362,"@coconutboombox "" it smells like how i would imagine a sandles resort, only without the chlamydia."" https://t.co/oiqxjpxqdd",general
915,8254,"@BBCNews The EU had already said that in the event of a no deal Brexit, that hauliers will be able to travel freely for upto 9 months without any additional paperwork.
As well as allowing planes to fly, trains and ferries to freely cross the channel.",general_travel
805,26152,"@JFKucinich Under Normal Circumstances I would Agree But #Trump Building UP His Power, I Feel Cause 4 A Powerful BackLash! Citizens Must Delay Their Travel if Going by Plane &amp; R Response 2 AirTravel Will B No Air Traffic Controllers Showing Up!WE Border Fascism or Liberty!URMove! https://t.co/pY0n6hSY36",general_travel
871,23043,@BGibbles I would personally love to be there for the moon landing. Not just watching it but to be there when Neil stepped off the lander. Faked or not I would love to have seen our first steps into interstellar travel.,general_travel
171,17643,"Justyn and I are currently planning a Europe trip, budgeting, and planning museums. I'm so in love.",travel
2100,15030,learn the difference between being loved as a person and being loved as a concept.,general
1003,35420,What Travel Trends Will Drive The Tourism Industry in 2019 https://t.co/PM7xSRBnMw via @RPSC Blogging,general_travel
324,17998,@THESUGARDAD1 I could use the money to travel. Would love to see more of the world ðŸ˜Š,travel
653,25311,"Free ratings of every Timeshare resort in the world based on owner reviews of their last vacation! 

Also get vacation travel tips and advice for every resort location and surrounding areas from other Timeshare owners just like you! https://t.co/3ERiTnhcns https://t.co/3uWzgRI7Od",general_travel
78,37924,"@Courtneyjadegx my mum comes in today like ""i have the perfect bag for you to travel with!!""...I'M MOVING UP IN THE WORLD https://t.co/Cz4SLNswYv",travel
22,35377,One of my goals I had made for this year was to travel more. And I’m already presented with 3 new opportunities 😁 now I just have to work hard to make them possible 🤞🏻,travel
42,37538,"Shite. I'm never gonna reach Fimbulventr at this rate. Well, at least it won't be a boring trip.",travel
410,28257,@emmachamberlain is time traveling too like her road trip is goddamn fast https://t.co/h1IXt4W4Hn,travel
470,37039,I'm here trying to plan a spontaneous trip to europe in march but like ... no one else is like yeah let's go,travel
1941,12278,"@seuldegom soft bear?! hihihi sometimes i found your cute side too unnie😣 i really want to be like you, cool on the stage and friendly off stage",general
2162,8628,if you walk away from a bts concert without hoseok climbing up your bias list you're lying. you're a liar.,general
2187,17932,"brett kavanaugh 'likely' to be investigated for perjury, house judiciary member says https://t.co/u20nf62m9t",general
1988,29762,i can’t be the only person who literally texts no one,general
972,8382,Who’s about that  Road Trip life tho like Trynna squad up n jus get out there 💪💪🤷‍♂️🤷‍♂️.. need me some traveling n wanna get out of sac friends lol,general_travel
253,18683,"I just want to travel the world, drink #ciroc, have someone, anyone feed me grapes under the sunset!! Taking applications!!!! 😩",travel
2060,37290,i’m bringing this legendary video back to the tl 😭😭😂😂😂😂😂 https://t.co/jjndx988ms,general
368,2044,this happens on my birthday so i’ll see it when i get back from my trip. https://t.co/sLtVGCvTbN,travel
152,37677,"I am an interior Designer and Decorator extraordinaire. I have my base in Abuja, lagos and Delta state. I’m available to travel and my prices are pocket friendly. These are some of my 2018 highlights.

A THREAD: https://t.co/L3uCx6d24B",travel
1977,3060,dear @donaldtusk &amp; @michelbarnier if you could please remind the morons that the backstop is non-negotiable before 5am so we don’t have to listen to the british brexit corporation declaring victory for a whole news cycle that would be helpful thanks mate. https://t.co/txgqhb5bmz,general
1910,16351,"the king is ready to unleash! be ready, he's baaaaack! #watchout #uhoh #returnoftheking🐐 https://t.co/bfytgtvhmx",general
664,42440,"if time travel is ever invented, i know Future Jo is gonna straight up come and give my ass a Terminator beat down. i am constantly creating messes for Future Jo. not getting sleep, going into overdraft for tickets to see wrestlers at a block party, going to Korea with only 300$",general_travel
2038,25921,"@jayhenrymarino1 @breitbartnews they have no choice... there's blackmail behind it, and payoffs. 70% of the government could be indicted when the fisa is released. i pray he's one of them!",general
2297,36386,everyone who hates arby’s and isn’t rich is the type of person who thinks they’re classy for watching phantom of the opera cuz it’s got word opera in it,general
1804,24469,"i see another mack situation,saying hes not trading dc,until a fish bites the bait,and well you all know https://t.co/pxa4a1lyn3",general
1833,45344,just posted a photo https://t.co/epuqpdmw9w,general
198,27575,@doug112 Please let me know if one is identified. Ill have to ensure my travel plans give it a wide berth.,travel
1879,10186,"join robinhood and we'll both get a stock like apple, ford, or sprint for free. make sure you use my link. https://t.co/zxqh52ibbm",general
639,35854,"Party in 330 @ 7 tonight 😂
There will be water, music, and if you put in, we can travel the solar system 😌💕 @stopmiracle y’all know it’s always something happening in our dorm 💀💀💀💀💀💀💀",general_travel
925,4378,@RSince76 Is this what a bad trip is like?,general_travel
731,29642,@djug @michaeldyrynda @laravelphp I think I have seen something about that before. Travelling. But will see if I book marked it somewhere,general_travel
1734,11412,"no madam, i do not know if you are using little for other reasons, but you had big political clout ""willie brown."" https://t.co/hmo4sbfldw",general
2394,17167,@ju_theman u a light weight now,general
55,38368,@sissyroxx I will always be grateful to my parents for taking us to great new places ,travel
893,9454,"2019 will be my year, definitely, I'm seeing my idols, I'm turning 18, also I'm gonna travel with my friends ðŸ˜›ðŸ˜œ",general_travel
2407,11827,why do i always get out in the group with the know it alls?! i swear they’re worse than people who don’t contribute any work 🙄,general
628,37324,"NatGeoTravel : From marine iguanas of the GalÃ¡pagos to sharks in the Bahamas, these incredible sites willÂ open your eyes to dazzling underwater worlds https://t.co/DYN2M11MMB (via Twitter https://t.co/lo8izyAGLa) Explore Bangladesh - https://t.co/T7MtK6WbLO https://t.co/baQMfbaoYo",general_travel
178,30873,"Inspired by my friend who moved from Vancouver last summer, this is how we'll be spending our free time and money before we make our trip to Europe! #monthoflasts #movingisemotional https://t.co/nsYzmkcVnK",travel
2478,33898,"@phen0maly @paulkrugman i suspect there would be some moderate inflation w/$15 min wage and perhaps some with mfa, but based upon what i've linked to thus far, you can probably guess that i think inflation fears are way overblown (except for cost-push inflation (like the 70's oil shortage)...",general
2141,34271,@shreksshrek that's not fulfilling her obligations to her job. litigants deserve to have the full court hear their oral arguments.,general
2463,23874,@bubbleoseven2 @joyceturkington my mummy has a bit of ocd...i sit with her on the porch windowsill for locking the front door and i've learnt the door handle routine so i know when to go back inside without being told!,general
2359,20655,did you know #dataprotectionday in europe and #dataprivacyday in the us first debuted in 2006? january 28 celebrates the day @coe’s #dataprotection convention 108 was opened to signature. #privacyaware https://t.co/jgihpueixy,general
366,20565,"Bottom of the story. 

I am happy. He is happy. We are happy. 

And we are figuring life out together and separately. 🤷🏻‍♀️ 

I’d like to be out of school and travel a little more before I settle",travel
185,40801,@NianticLabs @NianticLabs looking at making a trip to Japan Iâ€™m the next 2 months. Are there any events planned? I would love to experience this.,travel
1757,38787,"and once the world has stopped spinning and the trads and progs have stopped bickering then maybe we can marie kondo the curriculum, if it isn't useful and/or doesn't give us joy then why is it there? #asechat",general
684,33781,"@writerhaha @RockandLedge @CNN I just think it should work like the TSA if we were even just travelling to Europe. Tons of screening, questions, repeated before and after entering country that’s how border should work",general_travel
748,28710,Everyone needs to aspire to be like Samwise Gamgee. That man called Frodo and everyone else by Mr. entire trip to Mordor. And he never complained once despite being thrown into the mess without his consent.,general_travel
136,29003,"I have a serious travel bug like I’m so anxious, I’m ready for another trip.",travel
2235,39770,is it normal to only listen to the west side story soundtrack,general
1012,13180,@iBamBamBigalow @colormesi @Meeekkiiee_ @Bossieta_Bonita @MJFinesseLover Michael Jackson spoke with them kids parents and some were sick.He didn’t have them kids numbers and they ain’t have his.He had they parents info. They basically took a field trip and agreed to let their kids spend time at his zoo mansion. One is showing kids pets the other wasnt,general_travel
734,15397,More shopping for the sequins dress. Looking for just the right one!! 😍 My next shopping trip is for new tennies ,general_travel
885,34829,"we out here, feelin like ass. though im on a learning trip through youtube finding out that everyone here in the dead by daylight community hates the game as much as they play it. i think we're all masochists. https://t.co/H2d5h5rORT",general_travel
1751,8357,"would you like to know the daily steps to grow your business? here they are.
https://t.co/jfbrkkemzj
#dailytips success",general
2441,34703,there's actually so much wrong with the overwatch ranked system i'm considering writing a blog about it or something. the main mechanics of the game are outstanding but the competitive mode is absolutely exhausting after all this time.,general
1935,29526,u ever been so sleep deprived ur eyes legit feel like they’re burning? that’s the ugliest feeling ever,general
453,31555,Life lesson of the day: An engagement came up for work. I told My manager to “put me on the Napa trip” she never replied to my email. Today I found out I’m going back to Napa. Aye. Aye. Aye. I do it for the trappers. 😫,travel
496,28959,"@Ryanair hi guys, just booked a trip to the Netherlands yesterday and realised today I didn't include my middle name on ticket but my middle name is on my passport, any advice on whether I'll need to change this? ðŸ˜Š",travel
2426,15879,omg this guy in my work place asked for my ig and he saw posts about jeongguk then he asked me if that’s my boyfriend and where’s he from. i said he’s from bts then he was like is that a cca?? like a band?? im gone,general
512,10386,"I feel like I need to make a drastic change in my life to improve it, like move away or just travel for a few years. Fed up of feeling shite in what’s supposed to be the best years of your life",travel
1927,43392,@takedownmras every time i think i've read the worst take &amp; yet i'm constantly surprised. what point did this dude think he was making?,general
735,4610,"The inner reality of love can be recognized only by love.
#fun #man #theme #tourist #people #travel #recreation #woman #imostudio #group #groupshot #wedding  #together #weddingcom #theknot #weddingwire #weddingphotography #weddingday #photograph #beautiful #love #justmarried https://t.co/ainlHioN4H",general_travel
310,17040,@undercoverchris @BarryTownSC @BarryTownUnited @AberystwythTown Agree - great to have travelling support chanting back at us from the new stand ,travel
993,6409,"Have a safe flight/travel boys.#LoveYourselfTour continues
its gonna be a busy days again.Please Take good care @BTS_TW..fighting armys. https://t.co/IlKlminwQe",general_travel
420,11702,I just realised that im 20 and Im about to end my studies so Ill be able to work and have a [decent] job and travel and go to concerts and im crying ??,travel
955,41116,"@theartofed Two: we needed a real art cart for our travelling teacher (we also have an art room), and display boards on wheels for mini art shows on display- in our school of 900 students. Thank you to our district support through @MtkaFoundation ‘s art",general_travel
2002,31954,"@invisibro @bcmerchant they should have known they needed a license to earn money to put food on the table, pay for college, and other frivolous bs.",general
530,21127,"@ZachAndronic Getting me too excited, I got a trip planned there this spring, imma have to hear the scoop when you get back",travel
239,7192,"We will love how colorful #Mexico is.  We've got the perfect #roadtrip idea for you: exploring the #Yucatan. 

Street art to #ruins to #vintage VW bugs there is so much to see! Check out our local's guide: https://t.co/9cBobQIdJd

#familytravel #VisitMexico #roadtrip https://t.co/n4m1E0CVty",travel
852,19132,I like those models who aren’t invested in modelling and just take contracts to travel for free,general_travel
2064,30861,"just attended the best #ediscovery #training session on @revealdata pm level, led by the amazing @staciotto from @practicealigned #legalweek19 #nyc @mjoymurao #revealcertification https://t.co/1oxxynofmk",general
1826,45595,"proud of you! i know it’s not always easy to leave these situations but if an opportunity presents itself, take it! https://t.co/mbrlpsktqt",general
172,19607,@lisa_tanous Agree 100%. I have to travel in about 10 days and I have never been more anxious to get on a plane.,travel
472,9459,@warren_tt Looks neAt!!! Thursday Hawaii trip then I will make my mind how to escape concrete jungle !,travel
2389,28834,getting close to 1000 votes. literally had the same diagnostic question come up on shift today at @crozerem. really appreciating the insight and interactions on #foamed #meded https://t.co/ttnlnas3l7,general
115,23131,".@RahulGandhi trip to UAE is well summarized by @gulf_news 

A pappu will always be pappu no matter where he goes
@divyaspandana
@priyankac19 https://t.co/BTz4tW4KBF",travel
1864,5324,freshmen are having sex this year and it’s crazy bc when i was a freshman the only thing i was fucking was stupid🥵,general
1160,25488,"The secluded Kermadec Islands have all the paradise promise of a castaway idyll. But sometimes, fantasy can be surprisingly close to reality https://t.co/U06enpG7l5 https://t.co/MtdU72rz9e",general_travel
1159,39784,"It's not in your head...its in the ocean.  The salt air, the waves, the sand the everything.  Life is a beach and I love it

#beachlife #beachbum
#travel #wanderlust #tacklentravel
#dreamvacationdepot 
https://t.co/o7ionZE6OE",general_travel
2262,6392,"i feel like we don’t talk enough about when tae opens a song, like the power jesus",general
99,6644,@youngfishgod @mineifiwildout weâ€™ll be ur gf for the trip ðŸ˜³ðŸ˜©,travel
1729,28742,"@kenryoku i really hope so... soon please soon. 😭😭😭
i'll try my best. my flight is friggin' delayed by an hour i hope i make it!",general
102,20225,@Corby_Corbs Haha I don’t need to travel with my friends every time. Lol I like being alone 😂🤷🏾‍♀️,travel
903,42812,@SpeakerPelosi I have a suggestion: air travel is way to dangerous with the shutdown- only a matter of time before we have a big crash- so- Please suspend all air travel during shutdown- that would incentivize the GOP to reopen gov.,general_travel
531,6524,"On a recent trip, we saw this winged comb jelly. I think it’s in the genus Leucothea. So amazing how it has wings like a biplane! It was on an early morning plankton-capturing flight.… https://t.co/QNawnrPAyJ",travel
2050,7678,@ray_brown15 boy quit playing i be forgetting to buy food for my dog sometimes fuck i look like with a child,general
1805,377,quick recap of west vs south in football and basketball this year  @nordicnasties https://t.co/ko5kbdituh,general
118,40434,"Serre chops at the legs and that’ll be called as a trip. Wildcats to the PowerPlay.

#ConquerTheNorth #CanadiansHockey #NOJHL",travel
556,31478,"We @betterUIndia are very optimistic about India's future. We have worked for years putting in place solutions for #SkillIndia. From my first trip to India back in 2010, to now my 37th trip, I have seen tremendous growth. #EducationForAll https://t.co/DasWqAifYY",travel
922,6807,"If you love to travel, one these jobs might be for you. https://t.co/bnFJedvkof",general_travel
1051,23915,"Good act of kindness

#Follow #IFB #Nature #Travel #Share #Fun #Animals #Video #USA #photography #Photo #love #MondayMotivation #MondayThoughts #Mondaymood
https://t.co/CqY4b72fbV",general_travel
711,54,@sunset What will happen to travel (and business) when TSA and other key people are so stressed from this situation that they can’t work anymore?,general_travel
1116,40823,"To my baby boo, you may not breath or even speak but I love you so much boo ðŸ˜­ðŸ˜˜ You'll always be my travel buddy ha? ðŸ˜˜ mwuuaaahh ðŸ˜˜ðŸ˜˜ðŸ¦„ðŸ¦„ https://t.co/7G0OyKXO9N",general_travel
791,28667,"A message from Angel Ariel:  There is no greater joy than to help others along the path to their greatness. For as you do, you will travel further along the path to your greatness.",general_travel
809,30033,"I keep thinking back to this motel I stayed at while I was on my trip back in October, and how comfy it was. It was exactly what my dream apartment was like and I miss it.",general_travel
690,8391,so happy that louis’ doing shows in yorkshire cos then i can go to some shows that are like 30 mins to an hour away instead of travelling for hourssss,general_travel
542,2809,"We booked our family trip for 2019. Disney World here we come. It’ll be a trip of first: first time for the kids to fly, first time for the husband to go to a theme park. https://t.co/pguLTykMss",travel
1914,3077,i don’t know if you guys know this but it’s possible to read a tweet written by a woman and not aggressively assure her that it does not apply to you.,general
825,25403,right so is harry just not gonna give us a photo with bell from this trip to japan???,general_travel
1959,44718,if your not the one then why does my hand fit yours this way?,general
1151,1916,"@BobsonDugnutt16 @mrdubya49 @woody170661 @NotJTWalsh @Lade_E_Bug @Crypto_ElonMusk @JohnnyAraiza @Acosta You think rapists are going to leave Mexico because women aren’t travelling??? 

Rape isn’t border dependant. 

And as for the jumped, you’re making it seem like 90% of people who attempt to get through the border make it. When really the statistic is minuscule. The majority of",general_travel
2170,3021,i'm finally on break. love this for me!,general
2252,18485,dplc teams from @discovery_ms and avalon ms took ownership of the content by engaging in a jigsaw of chapters 2 and 3 of the academic conversations text. they created presentations to share the content with others and even developed their own model conversations! @ocpsinnovation https://t.co/ks9eqinsjj,general
2522,8330,@mcvey__ they can keep the nandos 😂 oh i know same 😍,general
926,991,"Remember Mr. Astudillo's chugging trip around the bases last summer? Well, the fire hydrant-like Twin is ruling social media AGAIN! https://t.co/66UuH0ODkW",general_travel
654,20721,"One of the corners at the spa of the hotel....every bit of space was marvelous and we'll made and decorated...
.
.
Subscribe to my YouTube Channel - Review Wala - Link in bio.
.
.
#ShotonOnePlus #blog #travelling #traveller #tourism #igtravel #travelblog… https://t.co/BWHVmCQztb https://t.co/DhUKQ8psL9",general_travel
13,28050,"Spent the whole of today indoors. The weather looked pretty foggy and now I’m wishing I experimented with it. Oh well, I’ll have to take advantage of it next time. Now it’s time for me to pack up for a short weekend trip to Cannes. See you lovely folks o… https://t.co/AMBcuF7mVF https://t.co/W05F0rGIAg",travel
2231,29977,the broly chronology is fucked up and here's why https://t.co/9bokeol91f,general
2149,9095,@byronyork your wish has been granted. watch for the latrine break by adam schiff. then tune to #cnnfakenews for the immediately leaked release. https://t.co/axd4tknyuu,general
1940,37530,"2020 qbs connor katz/cranford, andrew sanborn/union, @loganclouse1612/ hun school working 5 and reset with slide jump stop throwing ball to shoulder of wr against zone. 2 feet in ground sliding not stepping especially left. 3 of njs best. @test_football @cjkqb_ @a_sanborn11 https://t.co/koubpdase5",general
333,29385,"I'm going to LA for a week at the end of the month - what is THE THING that I have to do? (Also, do you want to hang out? I get lonely when I travel.) https://t.co/Pvxvq7iz7j",travel
438,37852,"@em_luxton Yeah just makes it feel more clean, also I'm really ad bevause the first few days on a trip it still smells like home 🙈",travel
674,18247,"Unrelatable content: Caffeine is the most unpleasant trip of any drug I've ever encountered. For me, its not like ""oh man im gonna die"" its a very assertive ""this is death, you're having it now, you cannot ease the pain"" Yet my hatred of coffee is why I keep drinking it? help",general_travel
2053,45579,"@rhubbz87 i'm worried politicians and people of power are using whatsapp as a legitimate means to communicate policies, etc. the days of cloak and dagger well over lol",general
957,39161,Yall got enough friends to plan a group trip and even if half the group dont got it’ll still be a big group trip. Lucky. https://t.co/cVNFGsfHlM,general_travel
1080,28907,@united Are your new Boeing 787-10 Dreamliners used for international flights?  We would love to travel on one.  Please DM us to let us know where your 787 Dreamliners travels to!  - Thanks,general_travel
1945,34283,"hosting a dinner for the top 25 @gumroad creators living in utah next month.

collectively they've made over $9,000,000! and most of them are women.",general
1149,7415,ALL EYES ON ME IN THE CENTER OF THE RING JUST LIKE A CIRCUS WHEN I CRACK THAT WHIP EVERYBODY GON TRIP JUST LIKE A CIRCUS https://t.co/ltFy4pLKKg,general_travel
392,25176,"We made a last minute trip to Quartzsite this weekend!  Stayed at La Posa South because we needed water and they have water, garbage and dump station. Due to the government shutdown, they… https://t.co/IJa5ywCJKo",travel
588,22749,Gosh i need to start saving and syart travelling to a different country to have my mind be in peace,travel
29,38234,"First trip of the year up Box Hill @MikeTeunissen, you'll remember it's gentle switchbacks from the Ride London Surrey 'Classic'.

My Garmin continues to refuse to acknowledge Box Hill as a place @cyclingmole, need some wins to trade it for a Wahoo Elemnt Bolt!

#cyclinggame19 https://t.co/bc2oldpjzA",travel
834,24744,"My hubby told me last night he's is flying into Houston Wed. It was supposed to be a surprise but MAN, he's gonna have a headache dealing with these airports...smh. Houston already shut down several concourses... https://t.co/4Zdsh1FOZ6",general_travel
1731,31216,@jaynthebuilding i swear this is me 😂😂 i’m more nastier with a girl than i am with a guy,general
490,33213,@SimonDingleyCBC @perreaux Art and I travel a lot but have only once had first class seats. We were upgraded.  I have a 20 hour flight in a few weeks to Singapore and it’s not in a pod!  Won’t bother me one bit. Won’t pay their price!  Not worth it.,travel
862,28607,"Habibe C. was suffering from cancer, arrested with her husband. Despite from her medical reports stating that she can't travel, she was transferred to Amasya. Habibe was going through chemotherapy. Unfortunately, she died today. Her children are left behind without their mothers. https://t.co/bVtZHhytBN",general_travel
2154,39593,we need a perfect president in 2020 or none at all. #nopresident2020,general
364,9282,@creature124 @gigahorsedeluxe @Rocky_feo ya I will travel *for* things and I like going to specific things/events well enough (even though i do find it a big stressor) but travel just to travel is a big Nope from me,travel
1033,28273,@Kevinwoo91 @paulfosterrr Thank goodness you're all right!!!😂 This trip was a life-changing experience for you!🌱✨ It’s written all over your face!✌You always make me feel so proud!💘 Keep up the good work!😘 Love you💋,general_travel
2341,25413,@ughhh182 it’s all good 👌🏻 😌 most importantly you for a great sense of humor 🤣👌🏻,general
440,1590,Apparently we are all going on a trip to see @leeleebb21 somewhere in  BC tomorrow https://t.co/BQMxi60NCP,travel
1872,3728,@rollingloud are the tickets including all 3 days ?,general
596,29538,I’ve had a very stressful week so I am going to cheer myself up by taking a trip to the garden centre today and buy some more house plants,general_travel
1108,16790,if u have multiverse (i dont bc i broke my last server setting it up badly im not doing that again dbfbdbns) it can travel across Worlds... u power it using artron energy (idk what that is Buddy) n use that to grow rooms n travel....its so freaking cool,general_travel
162,12943,First girl that I fall in love with is gon take a trip with me out to Santorini https://t.co/zhPq3c6o3T,travel
2271,35343,"“we fought in the second world war. we liberated france, we liberated belgium. we beat the germans. and what we got now? trying to tell us what we can and can’t do.""

former miner danny gillespie, who voted leave, says the situation is ""absolutely ridiculous""

#newsnight https://t.co/2j94yc6u1m",general
2348,25379,@pharezzarajudah @celticfc tierney is off ☺️ £4million with add ons. southampton won't be propping peter the greeter up to the levels they have. they know it's a balance sheet he's running not a football club.,general
1785,11901,"you have the decency to hide the women's faces when interviewing them but when it comes to interviewing the boys (who mind you are still undergoing intensive counselling as you say), you willingly portray their faces for the rest of the world to see.",general
501,37985,@jesserker @JoelRRenner @GabrielSurfCat @SocialRoadTrip @jdags Yay!!! I’ll message ya to keep ya posted as travel date draws near. #SocialRoadTrip,travel
386,1335,Opening up myself to receive love this year. I wanna travel but not with you baby. https://t.co/ELxCTEwu7V,travel
153,36248,"@ilovelittmix Hey I need a new car, the merc doesn’t cut it anymore, will you donate if I set a page up? I’d also like a trip to Paris, Bora Bora and Dubai! I also need a new camera too and some new clothes 👍🏻",travel
57,31621,"@diamanteitalia I love Marty sm he’s an angel, em and I wanna take a trip to San Fran and visit him😭",travel
1078,32627,I had a mini bad trip on the uber I thought he was going to rob me 😭😭😭. Was awful ( obviously I played cool you wont see your sis  out of control💅🏽),general_travel
685,29649,"Your wings already exists. All you have to do is, FLY! ✈️
.
.
.
.
.
.
.
.
.
.
.
.
#airplane #sky #travel #plane #fly #airport #flight #flying #photography #instagood https://t.co/ovx7NpTFhX https://t.co/cXVke9ZZ3o",general_travel
125,38506,@OOAKF I have to travel first it can wait,travel
1796,40670,i liked a @youtube video https://t.co/pgdjcykf2o supercombo - amianto (lyric video),general
521,33388,"I've got some free time next weekend and cheap travel. Where should I go in the UK? Memes will be made 🚂💼

$tel #telfam #telcoin https://t.co/DkOEyYUuRR",travel
772,32994,"Should have given some context, but they weren’t to know the impact if I took unpaid time out of my diary for ‘an opportunity to inspire others’, for which I was also invited to pay my own travel and accommodation.  Actually, irony does seem to be setting in now.",general_travel
426,38311,"All the food I prepped for a trip I took. Doesn't last the whole time which is ok since luckily I can cook where I'm going but it's nice to have stuff ready if I can't get to the store in the first few days.

#scdlegal #scddiet #tasty #delish #eating #yu… https://t.co/2MD4kgerra https://t.co/BAX7xfcORx",travel
2314,28933,the light is one world away... https://t.co/mgpn5pc4my,general
651,28112,"“hola, como estas” excuse me, I have to cry https://t.co/Kr8J4khPri",general_travel
325,35656,"This is like a experiment of torture or something. They have so many resources. I travel almost all Japan this summer and they were stalking everywhere, and harassing me, blackmail me. Every hotel helped them.
#CrimesAgainstHumanity Japan",travel
1112,31779,"@SentryIsVoid I wont blame them at some point or the other you have to repeat because there is only so much stories you can do but doing so many things that have already been done..is boring. Mutant cure, world hating them, evil white senator, time travel",general_travel
