,index,text,label,tokens
142,40184,Have you ever booked a trip somewhere as soon as you discovered it as if it were so magical you could not wait a moment longer because that's what the colmar regions were like for me these Portuguese islands are going to be represented in,travel,"['have', 'you', 'ever', 'booked', 'trip', 'somewhere', 'as', 'soon', 'as', 'you', 'discovered', 'it', 'as', 'if', 'it', 'were', 'so', 'magical', 'you', 'can', 'wait', 'moment', 'more', 'that', 'what', 'the', 'azores', 'and', 'colmar', 'were', 'like', 'for', 'me', 'and', 'these', 'portuguese', 'islands', 'are', 'going', 'to', 'be', 'represented', 'at']"
248,39895,Hey i want to go and i have no money or so if you are willing to pay for a round trip from uk then it would be cool,travel,"['hey', 'wanna', 'go', 'and', 'have', 'no', 'money', 'either', 'so', 'if', 'your', 'willing', 'to', 'pay', 'for', 'round', 'trip', 'from', 'the', 'uk', 'then', 'that', 'would', 'be', 'cool']"
76,20497,Do all my subsequent Florida updates on the status of red algae thinking about a trip to sarasota around Easter but I want to make sure it will be clear enough by then,travel,"['do', 'any', 'of', 'my', 'florida', 'followers', 'have', 'any', 'updates', 'on', 'the', 'red', 'algae', 'situation', 'thinking', 'about', 'sarasota', 'trip', 'around', 'easter', 'but', 'want', 'to', 'make', 'sure', 'it', 'll', 'be', 'clear', 'enough', 'by', 'then']"
529,2307,Nothing like a weekend of a day becomes a day with a trip to the hospital included,travel,"['nothing', 'like', 'day', 'weekend', 'turning', 'into', 'day', 'one', 'with', 'hospital', 'trip', 'included']"
70,40902,Do you travel on holidays during booking a travel book or book it yourself if you ordered it yourself and something went wrong for you will no doubt understand the pain and hassle of sorting and messing yourself up,travel,"['did', 'you', 'travel', 'on', 'holidays', 'during', 'did', 'you', 'book', 'through', 'travel', 'agent', 'or', 'book', 'it', 'yourself', 'if', 'you', 'booked', 'it', 'yourself', 'and', 'something', 'went', 'wrong', 'you', 'll', 'no', 'doubt', 'understand', 'the', 'pain', 'and', 'hassle', 'of', 'sorting', 'the', 'mess', 'out', 'yourself']"
30,40843,I might be broke but it was worth every penny I will never forget this trip with my best friends I'll see you soon orlando Camping World Stadium,travel,"['may', 'be', 'broke', 'but', 'it', 'was', 'worth', 'every', 'penny', 'll', 'never', 'forget', 'this', 'trip', 'with', 'my', 'best', 'friends', 'will', 'see', 'you', 'soon', 'orlando', 'camping', 'world', 'stadium']"
565,3813,Hello plan a trip this April and will be visiting you can point me to descriptions of three distillery tours please slainte,travel,"['hello', 'planning', 'trip', 'to', 'islay', 'this', 'april', 'and', 'will', 'be', 'visiting', 'can', 'you', 'point', 'me', 'to', 'descriptions', 'of', 'the', 'three', 'distillery', 'tours', 'please', 'slainte']"
443,33855,Lisbon My parents live there and all Southern South Portugal with them Barcelone San Sebastian Living there Copenhagen Oso London London switzerlan geneva Germany Berlin and oberhausen Italy Korea Korea Japan I loved the whole city s and I love to travel,travel,"['lisbon', 'my', 'parents', 'live', 'there', 'and', 'all', 'the', 'south', 'of', 'portugal', 'with', 'them', 'barcelona', 'san', 'sebastian', 'lived', 'there', 'copenhagen', 'oslo', 'london', 'austria', 'switzerlan', 'geneva', 'germany', 'berlin', 'and', 'oberhausen', 'italy', 'china', 'korea', 'japan', 'loved', 'all', 'the', 'city', 'and', 'love', 'to', 'travel']"
7,42285,Who is going to sxsw this year trying to plan a trip I might go,travel,"['who', 'going', 'to', 'sxsw', 'this', 'year', 'trying', 'to', 'plan', 'trip', 'might', 'go']"
218,30494,Not here when planning my Southeast Asia trip It's a parade I had to add more and more days to my visit to Kuala Lumpur I have a feeling that I was not sorry to take Hong Kong off my track,travel,"['not', 'here', 'while', 'planning', 'my', 'southeast', 'asia', 'trip', 'this', 'march', 'had', 'to', 'keep', 'adding', 'more', 'and', 'more', 'days', 'to', 'my', 'visit', 'to', 'kuala', 'lumpur', 'have', 'feeling', 'won', 'regret', 'taking', 'hong', 'kong', 'off', 'my', 'itinerary']"
342,29098,Winter comes in many journeys in Europe and in the north there is this serious snow and sunless weeks as you find lingering sunshine in mild and moderate this time inspired to visit major cities here is a list with beautiful destinations in Europe,travel,"['winter', 'comes', 'in', 'many', 'guises', 'in', 'europe', 'in', 'the', 'north', 'there', 'serious', 'snow', 'and', 'sunless', 'weeks', 'while', 'you', 'll', 'find', 'lingering', 'sunshine', 'in', 'the', 'mild', 'mediterranean', 'it', 'an', 'inspiring', 'time', 'to', 'visit', 'grand', 'cities', 'here', 'is', 'list', 'with', 'beautiful', 'destinations', 'in', 'europe']"
319,28479,For the last few years I traveled between spain and freely and next week I will be in Italy again no problems after the end of the march that will change I will still travel but I will never understand why the UK behaves like it is now,travel,"['for', 'the', 'past', 'years', 'have', 'traveled', 'between', 'the', 'and', 'spain', 'freely', 'next', 'week', 'will', 'be', 'in', 'italy', 'again', 'no', 'problems', 'after', 'the', 'end', 'of', 'march', 'that', 'will', 'change', 'will', 'still', 'travel', 'but', 'will', 'never', 'understand', 'why', 'the', 'uk', 'is', 'acting', 'like', 'it', 'is', 'now']"
297,11026,I do not want school I want to stroll the beauty of the world Why doesn t get it like bro bro is not here to destroy it im here to appreciate it Why do I need geometry for it,travel,"['don', 'want', 'school', 'want', 'to', 'travel', 'the', 'beauties', 'of', 'the', 'world', 'why', 'doesn', 'anyone', 'get', 'that', 'like', 'bro', 'im', 'not', 'here', 'to', 'destroy', 'it', 'im', 'here', 'to', 'appreciate', 'it', 'why', 'do', 'need', 'geometry', 'for', 'that']"
45,15315,I want to travel a lot this year,travel,"['wanna', 'am', 'gonna', 'travel', 'lot', 'this', 'year']"
183,42711,One of my dreams is to travel the world with my love,travel,"['one', 'of', 'my', 'dream', 'is', 'to', 'travel', 'around', 'the', 'world', 'with', 'my', 'love', 'one']"
434,23004,Ahhh OK Thanks I have to go for a walk and thought I could take off for a long flight,travel,"['ahhh', 'ok', 'thanks', 'have', 'to', 'leave', 'on', 'trip', 'and', 'thought', 'could', 'download', 'for', 'long', 'flight']"
415,39933,I gotta say ya m i like it cold and snowy weather there's something so pleasant about it i love it so much that i just ordered a trip to the cat and i to flland later this month,travel,"['gotta', 'tell', 'ya', 'loving', 'this', 'cold', 'and', 'snowy', 'weather', 'there', 'something', 'so', 'cosy', 'about', 'it', 'love', 'it', 'so', 'much', 'that', 'just', 'booked', 'trip', 'for', 'cat', 'and', 'to', 'lapland', 'later', 'this', 'month', 'to']"
257,5938,A quick trip there and back and we have a yaaaaaaaay plane traveling to Los Angeles California from DFW Airport,travel,"['quick', 'trip', 'there', 'and', 'back', 'and', 'we', 'have', 'plane', 'yaaaaaaaay', 'traveling', 'to', 'los', 'angeles', 'california', 'from', 'dfw', 'airport']"
401,13517,Looking for this mondaymotivation a year ago I made it a priority to travel by December I made it to countries on four continents The best part I brought back a number of great stories and pictures I'll do it with you,travel,"['seeking', 'that', 'mondaymotivation', 'year', 'ago', 'made', 'it', 'priority', 'to', 'travel', 'by', 'dec', 'made', 'it', 'to', 'countries', 'on', 'four', 'continents', 'the', 'best', 'part', 'brought', 'back', 'number', 'of', 'great', 'stories', 'and', 'photos', 'll', 'do', 'the', 'same', 'in', 'how', 'about', 'you']"
464,21872,This is going to be especially exciting on a day trip,travel,"['it', 'gonna', 'be', 'extra', 'exciting', 'on', 'field', 'trip', 'day']"
330,33229,You said the patcher loses to the commanders after watching the chargers of the chargers still think it's going to blame the trip for weeks and the time difference on the interruption of the screws or were that much better pats,travel,"['you', 'said', 'pats', 'lose', 'to', 'chiefs', 'after', 'watching', 'the', 'beatdown', 'of', 'the', 'chargers', 'still', 'think', 'the', 'same', 'gonna', 'blame', 'travel', 'for', 'weeks', 'and', 'time', 'difference', 'for', 'hampering', 'the', 'bolts', 'or', 'were', 'the', 'pats', 'that', 'much', 'better']"
145,37212,Will another year of traveling was a kind of awkward stuck in Wisconsin last year St Crocs usvi san Antonio tx Nashville tn Florian Verona Italy Santorini Athens Grace Brazil,travel,"['will', 'be', 'another', 'year', 'of', 'travel', 'was', 'sort', 'of', 'embarrassingly', 'stuck', 'in', 'wisconsin', 'last', 'year', 'st', 'croix', 'usvi', 'san', 'antonio', 'tx', 'nashville', 'tn', 'florence', 'verona', 'italy', 'santorini', 'athens', 'greece', 'brasil']"
166,12822,I talked to my dad about the concert trip like the last time and he said it was the last time I travel anywhere I really give seungri my last travel opportunity let it get this bread,travel,"['talked', 'to', 'my', 'father', 'about', 'the', 'concert', 'trip', 'like', 'one', 'last', 'time', 'and', 'he', 'said', 'this', 'is', 'the', 'last', 'time', 'am', 'traveling', 'anywhere', 'am', 'truly', 'giving', 'seungri', 'my', 'last', 'travel', 'chance', 'let', 'get', 'this', 'bread']"
42,37538,shite I'm never going to get fimbulventr at this rate even at least it won't be a boring trip,travel,"['shite', 'never', 'gonna', 'reach', 'fimbulventr', 'at', 'this', 'rate', 'well', 'at', 'least', 'it', 'won', 'be', 'boring', 'trip']"
418,4329,Yes we only have days so we know it will be a busy trip lol,travel,"['yup', 'we', 'only', 'have', 'days', 'there', 'so', 'we', 'know', 'it', 'll', 'be', 'busy', 'trip', 'lol']"
404,9397,So I'm planning a two-week trip to Japan and South Korea in April with my friends and if I do not go into at least all my idols I'll be upset and big,travel,"['so', 'planning', 'two', 'week', 'trip', 'to', 'japan', 'and', 'south', 'korea', 'in', 'april', 'with', 'my', 'friends', 'if', 'don', 'run', 'into', 'at', 'least', 'all', 'my', 'idols', 'will', 'be', 'big', 'upset']"
321,33044,I m hoping to make a trip this year and am glad to know that it will be a wild experience,travel,"['hoping', 'to', 'make', 'trip', 'this', 'year', 'myself', 'glad', 'to', 'know', 'it', 'll', 'be', 'wild', 'experience']"
236,33698,All I want in life is to have someone travel with the rest of my life,travel,"['all', 'want', 'in', 'life', 'is', 'to', 'travel', 'and', 'to', 'have', 'someone', 'to', 'travel', 'with', 'for', 'the', 'rest', 'of', 'my', 'life']"
275,7512,Welcome to Canada Freedom is a truly amazing place filled with the best people in the world and you are going to love it in Canada and do not travel south anytime soon people have a little xenophobic at the moment,travel,"['welcome', 'to', 'freedom', 'canada', 'is', 'truly', 'remarkable', 'place', 'and', 'filled', 'with', 'the', 'world', 'best', 'people', 'you', 're', 'going', 'to', 'love', 'it', 'in', 'canada', 'don', 'travel', 'south', 'anytime', 'soon', 'the', 'folks', 'there', 'are', 'bit', 'xenophobic', 'at', 'the', 'moment']"
341,16967,I love trip to xxx,travel,"['love', 'trip', 'xxx']"
238,23869,I have gone to one professional soccer game in my life this year on a trip to spain saw atl tico de madrid they returned twice scored at the time of injury to win the place went to the bonkers and i will probably be a lifelong fan or at least until i go to see real betis in Seville,travel,"['ve', 'gone', 'to', 'one', 'professional', 'soccer', 'game', 'in', 'my', 'life', 'this', 'year', 'on', 'trip', 'to', 'spain', 'saw', 'atl', 'tico', 'de', 'madrid', 'they', 'came', 'back', 'twice', 'and', 'scored', 'in', 'injury', 'time', 'to', 'win', 'the', 'place', 'went', 'bonkers', 'and', 'll', 'probably', 'be', 'fan', 'for', 'life', 'or', 'at', 'least', 'until', 'go', 'see', 'real', 'betis', 'in', 'seville']"
559,34445,whelp cross the road road starts tomorrow me and my older brother goes to bury our grandmother They rejected the funeral until Monday just got the road munchies have a cool opportunity ready for us to connect like a pussy,travel,"['whelp', 'cross', 'country', 'road', 'trip', 'starts', 'tomorrow', 'me', 'and', 'my', 'oldest', 'brother', 'going', 'to', 'bury', 'our', 'grandmother', 'they', 'put', 'off', 'the', 'funeral', 'till', 'monday', 'just', 'got', 'the', 'road', 'munchies', 'got', 'the', 'cooler', 'ready', 'chance', 'for', 'us', 'to', 'bond', 'like', 'sappy', 'movie']"
278,37429,I would love to go to Bora Bora but I thought the ride would happen with my girlfriends not mans so I'll wait until they're ready,travel,"['would', 'love', 'to', 'go', 'to', 'bora', 'bora', 'but', 'figured', 'that', 'trip', 'will', 'happen', 'with', 'my', 'girlfriends', 'not', 'mans', 'so', 'll', 'wait', 'till', 'they', 're', 'ready']"
114,8948,Dear Mary Poppins I would love to accompany your bag for my week trip around the world thanks to Disney Mary Poppins to lottopack,travel,"['dear', 'mary', 'poppins', 'would', 'love', 'to', 'borrow', 'your', 'bag', 'for', 'my', 'week', 'trip', 'around', 'the', 'world', 'thanks', 'marypoppins', 'disney', 'toomuchtopack']"
192,37703,You're right I love you more need to do a trip so we can parttyyyyyyyy,travel,"['you', 'right', 'love', 'you', 'more', 'need', 'to', 'make', 'trip', 'so', 'we', 'can', 'parttyyyyyyyy']"
554,30551,Ok i have a bunch of star trek music now listen next week in case i have a sleeping problem that leads to my work trip on the plane in my hotel room it's going to be a complete anxiety for a week for me,travel,"['ok', 'have', 'bunch', 'of', 'star', 'trek', 'music', 'now', 'to', 'listen', 'to', 'over', 'the', 'next', 'week', 'in', 'case', 'have', 'trouble', 'sleeping', 'leading', 'up', 'to', 'my', 'work', 'trip', 'on', 'the', 'plane', 'and', 'in', 'my', 'hotel', 'room', 'it', 'going', 'to', 'be', 'difficult', 'anxiety', 'filled', 'week', 'for', 'me']"
548,18439,This is all I want in life Live a nice penthouse with the love of my life and just travel the world while comfortable Comfortable no children are not necessarily rich Nobody is just me and my man,travel,"['this', 'is', 'all', 'want', 'in', 'life', 'to', 'live', 'in', 'nice', 'penthouse', 'with', 'the', 'love', 'of', 'my', 'life', 'and', 'just', 'travel', 'the', 'world', 'while', 'living', 'comfortable', 'no', 'kids', 'not', 'necessarily', 'rich', 'none', 'of', 'that', 'just', 'me', 'and', 'my', 'man']"
17,39377,idk If this year I want to make more cities for us or travel abroad a few times I can try to get an East Asia trip done or a long Europe month we will see,travel,"['idk', 'if', 'this', 'year', 'wanna', 'do', 'more', 'cities', 'in', 'the', 'us', 'or', 'go', 'abroad', 'few', 'times', 'might', 'try', 'get', 'an', 'east', 'asian', 'trip', 'done', 'or', 'month', 'long', 'europe', 'we', 'll', 'see']"
109,7007,idc if i need to travel i will see bts in concert this year,travel,"['idc', 'if', 'have', 'to', 'travel', 'will', 'see', 'bts', 'in', 'concert', 'this', 'year']"
467,17224,More reasons to stay away from driving australia snakes jas fleas I will come to Australia every day if I have a chance,travel,"['more', 'reasons', 'to', 'stay', 'away', 'from', 'travelling', 'to', 'australia', 'snakes', 'and', 'fleas', 'jk', 'will', 'come', 'to', 'australia', 'any', 'day', 'if', 'got', 'the', 'chance']"
121,19874,"pakyong now my ride gangtok is in danger just because spicejet i will lose a lot of money, you will lose time to expensive family to delinquent is spicejet",travel,"['pakyong', 'now', 'my', 'trip', 'to', 'gangtok', 'is', 'in', 'danger', 'only', 'because', 'of', 'spicejet', 'will', 'lose', 'lot', 'of', 'money', 'and', 'will', 'lose', 'precious', 'family', 'time', 'to', 'and', 'culprit', 'is', 'spicejet']"
306,38815,Happy Birthday to my travel partner here for many more trips in our future I love you,travel,"['happy', 'th', 'anniversary', 'to', 'my', 'travel', 'partner', 'here', 'to', 'many', 'more', 'travels', 'in', 'our', 'future', 'love', 'you']"
496,28959,Hey guys just booked a trip to netherlands yesterday and realized today i didn t include my middle name on the card but my middle name is on my passport and any advice if i need to change it,travel,"['hi', 'guys', 'just', 'booked', 'trip', 'to', 'the', 'netherlands', 'yesterday', 'and', 'realised', 'today', 'didn', 'include', 'my', 'middle', 'name', 'on', 'ticket', 'but', 'my', 'middle', 'name', 'is', 'on', 'my', 'passport', 'any', 'advice', 'on', 'whether', 'll', 'need', 'to', 'change', 'this']"
555,23951,I'm sure going to see the northern lights would be awesome and this is one of the trip I'd love to make,travel,"['bet', 'going', 'to', 'see', 'the', 'northern', 'lights', 'would', 'be', 'amazing', 'it', 'one', 'trip', 'would', 'love', 'to', 'do']"
526,36650,I made a list of all the places I was able to travel to a separate list of all the places I wanted to travel that makes me excited,travel,"['made', 'list', 'of', 'all', 'the', 'places', 'have', 'been', 'able', 'to', 'travel', 'and', 'separate', 'list', 'of', 'all', 'the', 'places', 'want', 'to', 'travel', 'it', 'makes', 'me', 'excited']"
500,3510,Seeing me spend all the money I will be earning and not have enough travel as I plan,travel,"['watch', 'me', 'spend', 'all', 'the', 'money', 'll', 'earn', 'and', 'not', 'have', 'enough', 'to', 'travel', 'like', 'planned']"
369,23147,It happens that flights to Japan have been booked for britishairways travel,travel,"['it', 'happening', 'flights', 'to', 'japan', 'have', 'been', 'booked', 'travel', 'britishairways']"
560,37475,I want to travel to Ghana dubai amp maldives this year with my best friend I don t have plans just talking into existence,travel,"['want', 'to', 'travel', 'to', 'ghana', 'dubai', 'amp', 'maldives', 'this', 'year', 'with', 'my', 'best', 'friend', 'don', 'have', 'plans', 'just', 'speaking', 'into', 'existence']"
504,4934,Sally take my hand and we'll go south to cross the land,travel,"['sally', 'take', 'my', 'hand', 'we', 'll', 'travel', 'south', 'cross', 'land']"
498,33573,The only thing I imagine in my middle end is being a young pro who does enough to pay rent and allow my shoes bag obsessed with travel as it's just that every time I mention it around marriage obsessive people,travel,"['the', 'only', 'thing', 'envision', 'for', 'myself', 'in', 'my', 'mid', 'late', 'is', 'to', 'be', 'young', 'professional', 'that', 'makes', 'enough', 'to', 'pay', 'rent', 'and', 'enable', 'my', 'shoe', 'bag', 'obsession', 'and', 'travel', 'like', 'that', 'just', 'it', 'whenever', 'mention', 'this', 'around', 'marriage', 'obsessed', 'people']"
384,17569,Lol thanks u i'm going to do most of my little weekend trip,travel,"['lol', 'thank', 'gonna', 'make', 'the', 'most', 'of', 'my', 'little', 'weekend', 'trip']"
10,40089,I travel with animals and emotional support and that's what I want you to know,travel,"['travel', 'with', 'my', 'emotional', 'support', 'animal', 'and', 'this', 'is', 'what', 'want', 'you', 'to', 'know']"
229,38236,Although their negative aspects of social media make me travel all over the world,travel,"['though', 'their', 'negative', 'aspects', 'social', 'media', 'make', 'me', 'travel', 'all', 'around', 'the', 'world']"
582,9201,I frankly love to visit the Venetian fabric store I m as strange as this is a craft thing venezia venice the last plush dealer of venice through,travel,"['honestly', 'love', 'to', 'visit', 'fabric', 'shop', 'in', 'venice', 'weird', 'like', 'that', 'it', 'craft', 'thing', 'venezia', 'venice', 'the', 'last', 'velvet', 'merchant', 'of', 'venice', 'via']"
290,33315,Sadly I had to cancel my trip in India and go home for a few weeks so datchinalife goes to London London travel home to pursue research,travel,"['sadly', 'had', 'to', 'cancel', 'my', 'trip', 'to', 'india', 'gonna', 'return', 'home', 'for', 'few', 'weeks', 'so', 'datchinalife', 'is', 'going', 'to', 'london', 'london', 'home', 'travel', 'explore', 'keepgoing']"
337,30707,Make sure I have everything for my sweden ride and then making dinner why,travel,"['making', 'sure', 'have', 'everything', 'for', 'my', 'trip', 'to', 'sweden', 'and', 'then', 'making', 'dinner', 'why']"
459,37022,It will be our next tour I need another stuss aussie to travel with,travel,"['it', 'll', 'be', 'us', 'next', 'tour', 'need', 'another', 'aussie', 'stan', 'to', 'travel', 'with']"
198,27575,Please let me know if one is identified as sick and have to ensure my travel plans give him a wide berth,travel,"['please', 'let', 'me', 'know', 'if', 'one', 'is', 'identified', 'ill', 'have', 'to', 'ensure', 'my', 'travel', 'plans', 'give', 'it', 'wide', 'berth']"
577,30580,Years ago I was on my flight today to Europe for our semester abroad with now I m on an hour bus ride to New York and not exactly the trip we had last time but it's going to be hell of time thebigapple Florence,travel,"['years', 'ago', 'today', 'was', 'on', 'my', 'flight', 'to', 'europe', 'for', 'our', 'semester', 'abroad', 'with', 'now', 'on', 'an', 'hour', 'bus', 'ride', 'to', 'nyc', 'not', 'quite', 'the', 'trip', 'we', 'had', 'last', 'time', 'but', 'it', 'gonna', 'be', 'hell', 'of', 'time', 'thebigapple', 'florence']"
531,6524,On a recent trip we saw this comb combed wings I think it's of the genus leucothea so amazing how there are wings like two wings that was on the early morning plankton flight capture,travel,"['on', 'recent', 'trip', 'we', 'saw', 'this', 'winged', 'comb', 'jelly', 'think', 'it', 'in', 'the', 'genus', 'leucothea', 'so', 'amazing', 'how', 'it', 'has', 'wings', 'like', 'biplane', 'it', 'was', 'on', 'an', 'early', 'morning', 'plankton', 'capturing', 'flight']"
480,35779,I'll make you a cup of tea and a guy on the house so that you can keep them in finance for a walk,travel,"['ll', 'make', 'you', 'cup', 'of', 'tea', 'lad', 'on', 'the', 'house', 'so', 'you', 'can', 'save', 'them', 'moneys', 'for', 'travelling']"
87,18301,matchday I'm not going to ride nyc tomorrow morning with a job so thank you kick the time and that wonderful blue chariot can only bring me home I'll be watching the cook from home,travel,"['matchday', 'not', 'going', 'nyc', 'trip', 'tomorrow', 'morning', 'with', 'work', 'so', 'thanks', 'to', 'the', 'kick', 'off', 'time', 'and', 'and', 'that', 'the', 'wonderful', 'blue', 'chariot', 'could', 'only', 'get', 'me', 'back', 'at', 'am', 'll', 'be', 'watching', 'the', 'massacre', 'from', 'home']"
176,37235,I can really use your support to send me to Guatemala this summer to visit my page to learn more about what I will do and contribute if you can thanks for your support,travel,"['could', 'really', 'use', 'your', 'support', 'to', 'send', 'me', 'to', 'guatemala', 'this', 'summer', 'visit', 'my', 'page', 'to', 'learn', 'more', 'about', 'what', 'll', 'be', 'doing', 'and', 'donate', 'if', 'you', 'can', 'thanks', 'for', 'your', 'support']"
199,18870,Going to New York in February for a little weekend stroll,travel,"['going', 'to', 'new', 'york', 'in', 'february', 'for', 'little', 'weekend', 'trip']"
268,1680,I feel like I'm traveling another way and now I have a different kind of appreciation for the places I'm going to,travel,"['feel', 'like', 'while', 'travel', 'differently', 'now', 'have', 'different', 'kind', 'of', 'appreciation', 'for', 'the', 'places', 'go']"
331,22729,I'm going to try to travel mostly by ferries this year,travel,"['gonna', 'try', 'and', 'travel', 'primarily', 'by', 'trains', 'and', 'ferries', 'this', 'year']"
227,1786,What would you do with your life if you know there are no limits to travel travel travel,travel,"['what', 'would', 'you', 'do', 'with', 'your', 'life', 'if', 'you', 'knew', 'there', 'were', 'no', 'limits', 'll', 'travel', 'travel', 'and', 'travel']"
588,22749,Block I have to start saving and start driving to another country to get my mind to be in peace,travel,"['gosh', 'need', 'to', 'start', 'saving', 'and', 'syart', 'travelling', 'to', 'different', 'country', 'to', 'have', 'my', 'mind', 'be', 'in', 'peace']"
408,8737,I had all these plans to travel this year and it seemed like they were just not going to happen anymore,travel,"['had', 'all', 'these', 'plans', 'to', 'travel', 'this', 'year', 'and', 'it', 'looks', 'like', 'they', 're', 'just', 'not', 'going', 'to', 'happen', 'anymore']"
364,9282,Ya i will travel on things and i love to go for specific things and events well enough even though i find it great highlights but travel only travel is not big off,travel,"['ya', 'will', 'travel', 'for', 'things', 'and', 'like', 'going', 'to', 'specific', 'things', 'events', 'well', 'enough', 'even', 'though', 'do', 'find', 'it', 'big', 'stressor', 'but', 'travel', 'just', 'to', 'travel', 'is', 'big', 'nope', 'from', 'me']"
256,9173,Man city away coach tomorrow her leaving the exit at pm there is a safe trip until everyone goes i'll see you up there wolves wabf wafc onepack,travel,"['man', 'city', 'away', 'its', 'tomorrow', 'coach', 'leaving', 'portway', 'at', 'pm', 'have', 'safe', 'trip', 'up', 'to', 'everyone', 'going', 'll', 'be', 'seeing', 'you', 'up', 'there', 'kfordwolves', 'wwfc', 'onepack']"
136,29003,I have a serious travel bug as I'm so anxious I'm ready for another trip,travel,"['have', 'serious', 'travel', 'bug', 'like', 'so', 'anxious', 'ready', 'for', 'another', 'trip']"
427,23817,"I know it's like her job, but you just got me owned in terms of travel plans by a working partner and I'm tired of not being in Europe and Japan and Australia",travel,"['know', 'it', 'like', 'her', 'job', 'but', 'you', 'just', 'got', 'owned', 'in', 'terms', 'of', 'trip', 'plans', 'by', 'co', 'worker', 'and', 'tired', 'of', 'not', 'being', 'in', 'europe', 'japan', 'australia']"
436,38573,We are going on a road trip to idaho haley at the end of June planning to stop the national glacier parks tabloid I know many of you were there all suggestions of what to do where to go and how long ae welcome would be greatly appreciated,travel,"['we', 'are', 'going', 'on', 'road', 'trip', 'to', 'haley', 'idaho', 'at', 'the', 'end', 'of', 'june', 'planning', 'to', 'stop', 'at', 'glacier', 'national', 'and', 'yellowstone', 'parks', 'know', 'that', 'many', 'of', 'you', 'have', 'been', 'there', 'any', 'and', 'all', 'suggestions', 'of', 'what', 'to', 'do', 'where', 'to', 'go', 'how', 'long', 'to', 'ae', 'welcomed', 'and', 'will', 'be', 'very', 'much', 'appreciated']"
78,37924,My mom arrives today as if I have the perfect bag for you to travel with I'm moving in the world,travel,"['my', 'mum', 'comes', 'in', 'today', 'like', 'have', 'the', 'perfect', 'bag', 'for', 'you', 'to', 'travel', 'with', 'moving', 'up', 'in', 'the', 'world']"
122,29831,Not a trip to the UK is complete without a visit to the pub I do not even drink alcohol and I love pubs Nothing better than a nice Sunday roast in front of roaring fire,travel,"['no', 'trip', 'to', 'britain', 'is', 'complete', 'without', 'visit', 'to', 'pub', 'don', 'even', 'drink', 'alcohol', 'and', 'love', 'pubs', 'nothing', 'better', 'than', 'nice', 'sunday', 'roast', 'in', 'front', 'of', 'roaring', 'fire']"
98,20332,Months down and go for this walk going too fast I'll be home before I know it,travel,"['months', 'down', 'to', 'go', 'this', 'trip', 'is', 'going', 'too', 'quickly', 'll', 'be', 'home', 'before', 'know', 'it']"
477,27365,I need a moisturizer and body acidity and may need to make a trip to Ulta tomorrow,travel,"['need', 'moisturizer', 'and', 'body', 'butter', 'might', 'have', 'to', 'make', 'trip', 'to', 'ulta', 'tomorrow']"
190,33723,"stock image close-up of a dayy moodington wellington landscape, queensland, australia, nature, sky,",travel,"['moody', 'wellington', 'point', 'in', 'queensland', 'australia', 'nature', 'sky', 'nature', 'sunset', 'photography', 'sun', 'travel', 'love', 'clouds', 'photooftheday', 'blue', 'sea', 'photo', 'instagood', 'landscape', 'beautiful', 'naturephotography', 'view', 'like', 'instatravel', 'trip', 'ig', 'bhfyp']"
217,22739,If I book a solo trip to Bali today they'll call me crazy,travel,"['if', 'book', 'solo', 'trip', 'to', 'bali', 'today', 'they', 'll', 'call', 'me', 'mad']"
77,40009,welp seems like I need to make a quick trip to Canada,travel,"['welp', 'looks', 'like', 'need', 'to', 'make', 'quick', 'trip', 'to', 'canada']"
74,37110,Ok but for my video i need to make a full montage of the first trip or keep it this way and have mini montages like the video going plz Reply sos,travel,"['ok', 'but', 'for', 'my', 'video', 'should', 'do', 'full', 'montage', 'of', 'the', 'trip', 'first', 'or', 'keep', 'it', 'like', 'this', 'and', 'have', 'mini', 'montages', 'as', 'the', 'video', 'goes', 'plz', 'reply', 'sos']"
487,22432,Entered the planning process of my next trip looks like Croatia and Slovenia in April,travel,"['getting', 'into', 'the', 'planning', 'process', 'of', 'my', 'next', 'trip', 'looking', 'like', 'croatia', 'and', 'slovenia', 'in', 'april', 'may']"
13,28050,Spent all day in the house the weather looks pretty vague and now im wanting i tried it with uh well i need to take advantage of it next time now it's time for me to pack a short weekend trip to cannes to see you adorable people o,travel,"['spent', 'the', 'whole', 'of', 'today', 'indoors', 'the', 'weather', 'looked', 'pretty', 'foggy', 'and', 'now', 'wishing', 'experimented', 'with', 'it', 'oh', 'well', 'll', 'have', 'to', 'take', 'advantage', 'of', 'it', 'next', 'time', 'now', 'it', 'time', 'for', 'me', 'to', 'pack', 'up', 'for', 'short', 'weekend', 'trip', 'to', 'cannes', 'see', 'you', 'lovely', 'folks']"
302,893,So strange these kinds of places I like to visit when I travel,travel,"['so', 'quaint', 'these', 'are', 'the', 'types', 'of', 'places', 'like', 'to', 'visit', 'when', 'travel']"
439,18921,Hey i go to New York Citys have been booked funds already sorted nj is waaayyy cheap then hey hey Manhattan and work confirmed my request to summon my travel agent is a pearl for bundling everything together for me,travel,"['hi', 'going', 'to', 'new', 'york', 'shits', 'been', 'booked', 'finances', 'have', 'been', 'sorted', 'nj', 'is', 'waaayyy', 'cheaper', 'then', 'manhattan', 'hey', 'and', 'work', 'has', 'approved', 'my', 'request', 'for', 'time', 'off', 'my', 'travel', 'agent', 'is', 'gem', 'for', 'bundling', 'everything', 'together', 'for', 'me']"
